epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6433,1.61997,4.51182,0.01622,0.38233,0.2409,0.26109,0.16093,1.40772,3.12133,0.01791,0.000552902,0.000552902,0.000552902
2,169.919,1.60582,3.18497,0.01662,0.48612,0.35275,0.38085,0.23116,1.4876,1.99747,0.019,0.00109759,0.00109759,0.00109759
3,238.187,1.66931,2.69794,0.01756,0.54985,0.41827,0.44088,0.25572,1.47441,1.87896,0.01994,0.00163128,0.00163128,0.00163128
4,306.196,1.67371,2.47146,0.01753,0.55223,0.45025,0.47867,0.28067,1.46354,1.83596,0.01949,0.00161749,0.00161749,0.00161749
5,375.192,1.68129,2.44761,0.01757,0.56776,0.46268,0.52648,0.31062,1.49223,1.58902,0.01977,0.00160099,0.00160099,0.00160099
6,443.474,1.67462,2.34495,0.01756,0.58471,0.44125,0.50651,0.32948,1.34209,1.62311,0.01684,0.00158448,0.00158448,0.00158448
7,512.19,1.67481,2.28121,0.01757,0.6208,0.46571,0.55013,0.34375,1.39644,1.48874,0.01797,0.00156798,0.00156798,0.00156798
8,581.007,1.67108,2.22617,0.01747,0.57323,0.48731,0.54125,0.33134,1.41747,1.51151,0.01908,0.00155148,0.00155148,0.00155148
9,649.159,1.63742,2.20386,0.01704,0.55652,0.53598,0.56234,0.35833,1.33216,1.51795,0.01655,0.00153497,0.00153497,0.00153497
10,716.81,1.64024,2.18437,0.01721,0.62293,0.51328,0.58887,0.37188,1.33447,1.43276,0.01681,0.00151847,0.00151847,0.00151847
11,785.302,1.64835,2.11703,0.0173,0.63579,0.52876,0.59731,0.37705,1.32737,1.41179,0.01671,0.00150197,0.00150197,0.00150197
12,853.687,1.61966,2.0779,0.01669,0.63554,0.51758,0.59422,0.37551,1.32497,1.39031,0.01649,0.00148546,0.00148546,0.00148546
13,921.399,1.62227,2.05034,0.01722,0.68833,0.54963,0.63811,0.39689,1.29585,1.30928,0.01596,0.00146896,0.00146896,0.00146896
14,989.317,1.61433,2.05439,0.01693,0.64008,0.55869,0.62152,0.38973,1.33054,1.35885,0.01701,0.00145246,0.00145246,0.00145246
15,1058.35,1.616,2.04231,0.01677,0.63624,0.571,0.63149,0.39821,1.34719,1.28889,0.01726,0.00143595,0.00143595,0.00143595
16,1126.79,1.59821,1.99226,0.01617,0.65828,0.56356,0.6295,0.40611,1.29037,1.31702,0.01629,0.00141945,0.00141945,0.00141945
17,1194.99,1.59646,1.9549,0.01685,0.59941,0.56214,0.61502,0.38887,1.28489,1.3485,0.01657,0.00140295,0.00140295,0.00140295
18,1263.92,1.60675,2.00131,0.01668,0.70279,0.53387,0.63155,0.4095,1.2667,1.26031,0.01576,0.00138644,0.00138644,0.00138644
